agcy_name,org_name,org_name_level,id_number,location,title,name_of_incumbent,type_of_appt,type_of_appt_full,pay_plan,pay_plan_full,level_grade_or_pay,tenure,expires
LIBRARY OF CONGRESS,,,015,"Washington, DC",Board Member,Vacant,PA,Presidential Appointment (without Senate Confirmation),WC,Without Compensation*,,6 Years,
LIBRARY OF CONGRESS,LIBRARY OF CONGRESS TRUST FUND BOARD,1,016,"Washington, DC","Ex Officio Member, Secretary of the Treasury",Jacob J. Lew,XS,Appointment Excepted by Statute,WC,Without Compensation*,,,2017-01-20T00:00:00Z
LIBRARY OF CONGRESS,,,017,"Washington, DC",Board Member,Joan W. Harris,PA,Presidential Appointment (without Senate Confirmation),WC,Without Compensation*,,5 Years,2016-12-02T00:00:00Z
LIBRARY OF CONGRESS,,,018,"Washington, DC",Board Member,Sally Sussman,PA,Presidential Appointment (without Senate Confirmation),WC,Without Compensation*,,5 Years,2018-09-02T00:00:00Z
LIBRARY OF CONGRESS,PERMANENT COMMITTEE FOR THE OLIVER WENDELL HOLMES DEVISE,1,019,"Washington, DC",Committee Member,Michael Les Benedict,PA,Presidential Appointment (without Senate Confirmation),WC,Without Compensation*,,8 Years,2019-04-30T00:00:00Z
LIBRARY OF CONGRESS,,,020,"Washington, DC",Committee Member,Linda K. Kerber,PA,Presidential Appointment (without Senate Confirmation),WC,Without Compensation*,,8 Years,2019-06-30T00:00:00Z
LIBRARY OF CONGRESS,,,021,"Washington, DC",Committee Member,Rachel F. Moran,PA,Presidential Appointment (without Senate Confirmation),WC,Without Compensation*,,8 Years,2019-09-30T00:00:00Z
LIBRARY OF CONGRESS,,,022,"Washington, DC",Committee Member,Vacant,PA,Presidential Appointment (without Senate Confirmation),WC,Without Compensation*,,8 Years,
EXECUTIVE OFFICE OF THE PRESIDENT,EXECUTIVE OFFICE OF THE PRESIDENT,1,1001,,,,,none included,,none included,,,
EXECUTIVE OFFICE OF THE PRESIDENT,WHITE HOUSE OFFICE,4,1002,"Washington, DC",Assistant to the President and Chief of Staff,Mark R. Meadows,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1003,"Washington, DC",Assistant to the President and National Security Advisor,Robert C. O'Brien,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1004,"Washington, DC",Assistant to the President and Special Representative for International Negotiations,Avrahm J. Berkowitz,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1005,"Washington, DC",Counsel to the President,Pasquale A. Cipollone,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1006,"Washington, DC",Assistant to the President and Senior Counselor,Kellyanne E. Conway,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1007,"Washington, DC",Assistant to the President and Deputy Chief of Staff for Policy to the First Lady,Emma K. Doyle,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1008,"Washington, DC",Deputy Counsel to the President for National Security Affairs and Legal Advisor to the National Security Council,John A. Eisenberg,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1009,"Washington, DC",Assistant to the President and Director of Strategic Communications,Alyssa A. Farah,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1010,"Washington, DC",Assistant to the President and Press Secretary,Kayleigh M. Gilmartin,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1011,"Washington, DC",Assistant to the President and Chief of Staff to the First Lady and Spokesperson,Stephanie A. Grisham,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1012,"Washington, DC",Assistant to the President and Counselor to the President,Hope C. Hicks,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1013,"Washington, DC",Assistant to the President for Economic Policy,Lawrence A. Kudlow,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1014,"Washington, DC",Assistant to the President and Director of Oval Office Operations,Nicholas F. Luna,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1015,"Washington, DC",Assistant to the President and Counselor to the President,Derek S. Lyons,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1016,"Washington, DC",Assistant to the President and Director of Presidential Personnel,"John D. McEntee, II",PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1017,"Washington, DC",Assistant to the President and Senior Advisor to the President for Policy,Stephen Miller,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1018,"Washington, DC",Assistant to the President for Trade and Manufacturing Policy,Peter K. Navarro,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1019,"Washington, DC",Assistant to the President and Cabinet Secretary,Kristan K. Nevins,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1020,"Washington, DC",Assistant to the President and Deputy National Security Advisor,Matthew F. Pottinger,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1021,"Washington, DC",Assistant to the President and Acting Director of the Domestic Policy Council,Brooke L. Rollins,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1022,"Washington, DC",Assistant to the President and Deputy Chief of Staff for Communications,Daniel J. Scavino,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1023,"Washington, DC",Assistant to the President and Acting Director of the Office of Legislative Affairs,Amy H. Swonger,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1024,"Washington, DC",Director of Records Management,Philip C. Droege,XS,Appointment Excepted by Statute,AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1025,"Washington, DC",Executive Clerk,David E. Kalbaugh,XS,Appointment Excepted by Statute,AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1026,"Washington, DC",Deputy Assistant to the President and Director of White House Management and Administration and Director of the Office of Administration,Monica J. Block,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1027,"Washington, DC",Deputy Assistant to the President and Principal Deputy Press Secretary,John H. Gidley,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1028,"Washington, DC",Deputy Assistant to the President for Presidential Scheduling and Advance,Michael B. Haidet,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1029,"Washington, DC","Deputy Assistant to the President and Advisor for Policy, Strategy, and Speechwriting",Vincent M. Haley,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1030,"Washington, DC",Depury Assistant to the President for Operations,Williams B. Harrison,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1031,"Washington, DC",Deputy Assistant to the President and Director of Intergovernmental Affairs,Douglas L. Hoelscher,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1032,"Washington, DC",Deputy Assistant to the President and Chief of Staff to the Senior Counselor,Hope R. Hudson,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1033,"Washington, DC",Deputy Assistant to the President and Director of Political Affairs,Brian T. Jack,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1034,"Washington, DC",Deputy Assistant to the President and Deputy Staff Secretary,Catherine B. Keller,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1035,"Washington, DC",Deputy Assistant to the President and Director of Presidential Advance,Max L. Miller,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1036,"Washington, DC",Deputy Assistant to the President and Social Secretary,Anna C. Niceta,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1037,"Washington, DC",Deputy Assistant to the President and Director of the Office of Public Liaison,Timothy A. Pataki,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1038,"Washington, DC",Deputy Counsel to the President,Patrick F. Philbin,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1039,"Washington, DC",Depury Counsel to the President,Michael M. Purpura,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1040,"Washington, DC",Deputy Assistant to the President for Strategic Initiatives,John N. Rader,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1041,"Washington, DC",Depury Assistant to the President and Chief of Staff to the Advisor,Julie T. Radford,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1042,"Washington, DC",Deputy Assistant to the President and Director of Presidential Correspondence,Desiree T. Sayle,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1043,"Washington, DC",Deputy Assistant to the President and Deputy Director of the Office of American Innovation,Ja'Ron K. Smith,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1044,"Washington, DC",Deputy Assistant to the President and Director of White House Information Technology,Roger L. Stone,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1045,"Washington, DC",Deputy Assistant to the President and Deputy Counsel to the President,Kathryn L. Todd,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1046,"Washington, DC",Deputy Assistant to the President and Senior Advisor to the Chief of Staff and Senior Communications Advisor,Benjamin D. Williamson,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1047,"Washington, DC",Deputy Assistant to the President and Deputy Policy Coordinator,Nicholas W. Butterfield,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1048,"Washington, DC",Deputy Assistant to the President for Legislative Affairs and House Liaison,Christopher C. Cox,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1049,"Washington, DC",Deputy Assistant to the President and Director of Operations for the Office of the First Lady,Hayley L. D'Antuono,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1050,"Washington, DC",Depury Assistant to the President and Advisor to White House Counsel,Sylvia M. Davis,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1051,"Washington, DC",Deputy Assistant to the President and Advisor to the Senior Advisor,Cassidy M. Dumbauld,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1052,"Washington, DC",Deputy Counsel to the President,Scott F. Gast,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1053,"Washington, DC",Deputy Assistant to the President and Deputy Director of Communications,Julia A. Hahn,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1054,"Washington, DC",Deputy Assistant to the President and Deputy Director of the Office of Public Liaison,Jennifer S. Korn,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1055,"Washington, DC",Deputy Assistant to the President and Executive Assistant to the President,Molly A. Michael,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1056,"Washington, DC","Deputy Assistant to the President and Advisor for Policy, Strategy, and Speechwriting",Ross P. Worthington,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1057,"Washington, DC",Deputy Assistant to the President and Advisor for Policy,John A. Zadrozny,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1058,"Washington, DC",Deputy Director and Senior Advisor for Records Management,Paul S. Raizk,XS,Appointment Excepted by Statute,AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1059,"Washington, DC",Senior Associate Counsel to the President,Mark A. Grider,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1060,"Washington, DC",Special Assistant to the President and Deputy Director of Advance,Craig E. Handzlik,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1061,"Washington, DC",Associate Counsel to the President,Tara J. Helfman,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1062,"Washington, DC",Senior Associate Counsel to the President,David M. Jones,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1063,"Washington, DC",Special Assistant to the President and Director of Domestic Initiatives,Rosemary A. Lahasky,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1064,"Washington, DC",Special Assistant to the President and Deputy Director of White House Information Technology,David J. Lambrecht,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1065,"Washington, DC",Special Assistant to the President and Director of Hispanic Outreach,Andrea R. Ramirez,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1066,"Washington, DC",Assistant Executive Clerk,"Thomas R. Edwin, III",XS,Appointment Excepted by Statute,AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1067,"Washington, DC",Special Assistant to the President and Speechwriter,Brittany L. Baldwin,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1068,"Washington, DC",Special Assistant to the President and Associate Director of Presidential Personnel,Matthew A. Buckham,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1069,"Washington, DC",Special Assistant to the President and Deputy Press Secretary,Judson P. Deere,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1070,"Washington, DC",Special Assistant to the President for Legislative Affairs,Jeffrey K. Freeland,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1071,"Washington, DC",Special Assistant to the President and Director of the Office of the Senior Advisor for Policy,"Robert Gabriel, Jr.",PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1072,"Washington, DC",Special Assistant to the President and Assistant Communications Director for Strategic Messaging,Katherine A. Henning,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1073,"Washington, DC",Special Assistant to the President and Deputy Director of Political Affairs for Outreach,Alexander S. Latcham,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1074,"Washington, DC",Special Assistant to the President for Legislative Affairs,Virginia D. McMillin,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1075,"Washington, DC",Special Assistant to the President and Director of White House Personnel,Joe E. Otaño,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1076,"Washington, DC",Special Assistant to the President for Legislative Affairs,Sean M. Riley,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1077,"Washington, DC",Special Assistant to the President and Speechwriter,Theodore M. Royer,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1078,"Washington, DC",Special Assistant to the President and Assistant Staff Secretary,"Douglas C. Sellers, Jr.",PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1079,"Washington, DC",Special Assistant to the President and Deputy Director of White House Management and Administration,Alexandra E. Stone,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1080,"Washington, DC",Special Assistant to the President for Legislative Affairs,Adam R. Telle,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1081,"Washington, DC",Associate Counsel to the President,Andrew R. Varcoe,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1082,"Washington, DC",Associate Counsel to the President,Mitchell D. Webber,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1083,"Washington, DC",Assistant Executive Clerk,William W. McCathran,XS,Appointment Excepted by Statute,AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICIAL RESIDENCE OF THE VICE PRESIDENT,4,1084,"Washington, DC",Deputy Social Secretary,Megan Schray,SC,Schedule C Excepted Appointment,GS,General Schedule,11,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF POLICY DEVELOPMENT,4,1085,"Washington, DC",Deputy Assistant to the President for Domestic Policy,Jennifer B. Lichter,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1086,"Washington, DC",Deputy Assistant to the President for Economic Policy and Deputy Director of the National Economic Council,Francis J. Brooke Jr.,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1087,"Washington, DC",Deputy Assistant to the President for Domestic Policy,Theodore J Wold,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1088,"Washington, DC",Special Assistant to the President and Senior Director for International Trade and Investment,Katherine R Kalutkiewicz,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1089,"Washington, DC",Special Assistant to the President for Domestic Policy,James S Baehr,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1090,"Washington, DC",Special Assistant to the President for Domestic Policy,James Sherk,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1091,"Washington, DC",Special Assistant to the President and Chief of Staff to the Director of the National Economic Council,Susan C Varga,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF ADMINISTRATION,4,1092,"Washington, DC","Deputy Assistant to the President and Director, Office of Administration",Monica J. Block,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1093,"Washington, DC",Special Assistant to the President and Deputy Director and Chief Administrative Officer,Zaina A. Shaath,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1094,"Washington, DC",General Counsel,Andrew C. Proyect,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1095,"Washington, DC",Chief Financial Officer,Heather D. Martin,PA,Presidential Appointment (without Senate Confirmation),EX,Executive Schedule,IV,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1096,"Washington, DC",Senior Advisor and Counselor,Kathleen H. Shannon,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1097,"Washington, DC",Chief of Operations,Samuel T. Price II,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1098,"Washington, DC",Senior Advisor,William A. Wetzel,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1099,"Washington, DC",Special Assistant to the President and Technical Advisor,Gabriel E. Perez,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1100,"Washington, DC",Special Assistant to the President and Technical Advisor,Evan B. Torrens,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1101,"Washington, DC",Associate Director of Operations and Facilities,Thomas J. Tsaveras,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1102,"Washington, DC",Staff Assistant,Chamberlain R. Harris,PA,Presidential Appointment (without Senate Confirmation),AD,Administratively Determined Rates,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF MANAGEMENT AND BUDGET,4,1103,,,,,none included,,none included,,,
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF THE DIRECTOR,3,1104,"Washington, DC",Director Office of Management and Budget,Vacant,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,I,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1105,"Washington, DC",Deputy Director Office of Management and Budget,Russell Thurlow Vought,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,II,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1106,"Washington, DC",Deputy Director for Management,Vacant,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,II,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1107,"Washington, DC",Chief of Staff,Vacant,,none included,ES,Senior Executive Service,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1108,"Washington, DC",Deputy Chief of Staff,Ashlea Nicole Frazier,NA,Noncareer Appointment,ES,Senior Executive Service,,,
EXECUTIVE OFFICE OF THE PRESIDENT,,,1109,"Washington, DC",Senior Advisor to the Deputy Director for Management,Patrick Corrigan,SC,Schedule C Excepted Appointment,GS,General Schedule,15,,
